corpus_name;sentence_position;word_position;value;postag_name;confidence_score
Hoflieferant_p53;20;1;So;ADV;10
Hoflieferant_p53;20;2;?;PUNCT;10
Hoflieferant_p53;21;1;Eh;ADV;10
Hoflieferant_p53;21;2;bien;VERB;10
Hoflieferant_p53;21;3;0;PUNCT;10
Hoflieferant_p53;21;4;ich;PRON;10
Hoflieferant_p53;21;5;will;AUX;10
Hoflieferant_p53;21;6;sehn;VERB;10
Hoflieferant_p53;21;7;0;PUNCT;10
Hoflieferant_p53;21;8;wer;PRON;10
Hoflieferant_p53;21;9;Herr;NOUN;10
Hoflieferant_p53;21;10;im;ADP;10
Hoflieferant_p53;21;11;Hüs;NOUN;10
Hoflieferant_p53;21;12;isch;AUX;10
Hoflieferant_p53;21;13;0;PUNCT;10
Hoflieferant_p53;21;14;ich;PRON;10
Hoflieferant_p53;21;15;odder;CONJ;10
Hoflieferant_p53;21;16;Ihr;DET;10
Hoflieferant_p53;21;17;!;PUNCT;10
Hoflieferant_p53;22;1;O;PROPN;10
Hoflieferant_p53;22;2;0;PUNCT;10
Hoflieferant_p53;22;3;wie;ADV;10
Hoflieferant_p53;22;4;bin;AUX;10
Hoflieferant_p53;22;5;ich;PRON;10
Hoflieferant_p53;22;6;unglüecklich;ADJ;10
Hoflieferant_p53;22;7;!;PUNCT;10
Hoflieferant_p53;23;1;Charles;PROPN;10
Hoflieferant_p53;23;2;0;PUNCT;10
Hoflieferant_p53;23;3;wenn;SCONJ;10
Hoflieferant_p53;23;4;du;PRON;10
Hoflieferant_p53;23;5;wüescht;VERB;10
Hoflieferant_p53;23;6;0;PUNCT;10
Hoflieferant_p53;23;7;wie;ADV;10
Hoflieferant_p53;23;8;ich;PRON;10
Hoflieferant_p53;23;9;dich;PRON;10
Hoflieferant_p53;23;10;gern;ADV;10
Hoflieferant_p53;23;11;hab;AUX;10
Hoflieferant_p53;23;12;!;PUNCT;10
Hoflieferant_p53;24;1;Lisa;PROPN;10
Hoflieferant_p53;24;2;!;PUNCT;10
Hoflieferant_p53;25;1;Charles;PROPN;10
Hoflieferant_p53;25;2;0;PUNCT;10
Hoflieferant_p53;25;3;ich;PRON;10
Hoflieferant_p53;25;4;hab;AUX;10
Hoflieferant_p53;25;5;dich;PRON;10
Hoflieferant_p53;25;6;gar;ADV;10
Hoflieferant_p53;25;7;nit;PART;10
Hoflieferant_p53;25;8;erüs;ADJ;10
Hoflieferant_p53;25;9;höre;VERB;10
Hoflieferant_p53;25;10;kumme;VERB;10
Hoflieferant_p53;25;11;.;PUNCT;10
Hoflieferant_p53;26;1;Du;PRON;10
Hoflieferant_p53;26;2;hesch;AUX;10
Hoflieferant_p53;26;3;doch;ADV;10
Hoflieferant_p53;26;4;nit;PART;10
Hoflieferant_p53;26;5;ghört;VERB;10
Hoflieferant_p53;26;6;0;PUNCT;10
Hoflieferant_p53;26;7;was;PRON;10
Hoflieferant_p53;26;8;ich;PRON;10
Hoflieferant_p53;26;9;ewe;DET;10
Hoflieferant_p53;26;10;do;X;10
Hoflieferant_p53;26;11;for;ADP;10
Hoflieferant_p53;26;12;mich;PRON;10
Hoflieferant_p53;26;13;gsaat;VERB;10
Hoflieferant_p53;26;14;hab;AUX;10
Hoflieferant_p53;26;15;?;PUNCT;10
Hoflieferant_p53;1;1;Brüchsch;NOUN;10
Hoflieferant_p53;1;2;kenn;DET;10
Hoflieferant_p53;1;3;Angscht;NOUN;10
Hoflieferant_p53;1;4;ze;PART;10
Hoflieferant_p53;1;5;han;AUX;10
Hoflieferant_p53;1;6;for;ADP;10
Hoflieferant_p53;1;7;mich;PRON;10
Hoflieferant_p53;1;8;0;PUNCT;10
Hoflieferant_p53;1;9;papa;NOUN;10
Hoflieferant_p53;1;10;.;PUNCT;10
Hoflieferant_p53;2;1;Ich;PRON;10
Hoflieferant_p53;2;2;hab;AUX;10
Hoflieferant_p53;2;3;eini;DET;10
Hoflieferant_p53;2;4;im;ADP;10
Hoflieferant_p53;2;5;Au;PROPN;10
Hoflieferant_p53;2;6;0;PUNCT;10
Hoflieferant_p53;2;7;wie;SCONJ;10
Hoflieferant_p53;2;8;sowohl;CONJ;10
Hoflieferant_p53;2;9;vum;ADP;10
Hoflieferant_p53;2;10;wisseschaftliche;ADJ;10
Hoflieferant_p53;2;11;0;PUNCT;10
Hoflieferant_p53;2;12;als;SCONJ;10
Hoflieferant_p53;2;13;au;INTJ;10
Hoflieferant_p53;2;14;vum;ADP;10
Hoflieferant_p53;2;15;praktische;ADJ;10
Hoflieferant_p53;2;16;unn;CONJ;10
Hoflieferant_p53;2;17;vum;ADP;10
Hoflieferant_p53;2;18;menschliche;ADJ;10
Hoflieferant_p53;2;19;Standpunkt;NOUN;10
Hoflieferant_p53;2;20;üs;ADP;10
Hoflieferant_p53;2;21;mine-n-;DET;10
Hoflieferant_p53;2;22;Anforderunge;NOUN;10
Hoflieferant_p53;2;23;entschpricht;VERB;10
Hoflieferant_p53;2;24;.;PUNCT;10
Hoflieferant_p53;3;1;Unn;CONJ;10
Hoflieferant_p53;3;2;ich;PRON;10
Hoflieferant_p53;3;3;hab;AUX;10
Hoflieferant_p53;3;4;hytt;ADJ;10
Hoflieferant_p53;3;5;de-n-;DET;10
Hoflieferant_p53;3;6;Entschluss;NOUN;10
Hoflieferant_p53;3;7;gfasst;VERB;10
Hoflieferant_p53;3;8;0;PUNCT;10
Hoflieferant_p53;3;9;nur;ADV;10
Hoflieferant_p53;3;10;die;DET;10
Hoflieferant_p53;3;11;Frau;NOUN;10
Hoflieferant_p53;3;12;ze;ADP;10
Hoflieferant_p53;3;13;hierothe;PROPN;10
Hoflieferant_p53;3;14;0;PUNCT;10
Hoflieferant_p53;3;15;wie;SCONJ;10
Hoflieferant_p53;3;16;mir;PRON;10
Hoflieferant_p53;3;17;passt;VERB;10
Hoflieferant_p53;3;18;.;PUNCT;10
Hoflieferant_p53;4;1;Bravo;NOUN;10
Hoflieferant_p53;4;2;0;PUNCT;10
Hoflieferant_p53;4;3;Auguste;PROPN;10
Hoflieferant_p53;4;4;0;PUNCT;10
Hoflieferant_p53;4;5;ganz;ADV;10
Hoflieferant_p53;4;6;vun;ADP;10
Hoflieferant_p53;4;7;minere;DET;10
Hoflieferant_p53;4;8;Meinung;NOUN;10
Hoflieferant_p53;4;9;!;PUNCT;10
Hoflieferant_p53;5;1;Dini;DET;10
Hoflieferant_p53;5;2;Aprobation;NOUN;10
Hoflieferant_p53;5;3;brücht;NOUN;10
Hoflieferant_p53;5;4;'r;PRON;10
Hoflieferant_p53;5;5;allewäj;ADV;10
Hoflieferant_p53;5;6;!;PUNCT;10
Hoflieferant_p53;6;1;Ich;PRON;10
Hoflieferant_p53;6;2;mach;VERB;10
Hoflieferant_p53;6;3;'s;PRON;10
Hoflieferant_p53;6;4;également;NOUN;10
Hoflieferant_p53;6;5;eso;ADJ;10
Hoflieferant_p53;6;6;.;PUNCT;10
Hoflieferant_p53;7;1;Bravo;NOUN;10
Hoflieferant_p53;7;2;!;PUNCT;10
Hoflieferant_p53;8;1;Alls;NOUN;10
Hoflieferant_p53;8;2;besser;ADJ;10
Hoflieferant_p53;8;3;!;PUNCT;10
Hoflieferant_p53;9;1;Eh;ADV;10
Hoflieferant_p53;9;2;bien;ADJ;10
Hoflieferant_p53;9;3;0;PUNCT;10
Hoflieferant_p53;9;4;ich;PRON;10
Hoflieferant_p53;9;5;garantier;NOUN;10
Hoflieferant_p53;9;6;Ejch;VERB;10
Hoflieferant_p53;9;7;0;PUNCT;10
Hoflieferant_p53;9;8;dass;SCONJ;10
Hoflieferant_p53;9;9;Ihr;PRON;10
Hoflieferant_p53;9;10;mine;DET;10
Hoflieferant_p53;9;11;Wille;NOUN;10
Hoflieferant_p53;9;12;reschpektiere;NOUN;10
Hoflieferant_p53;9;13;wäre;AUX;10
Hoflieferant_p53;9;14;!;PUNCT;10
Hoflieferant_p53;10;1;Du;PRON;10
Hoflieferant_p53;10;2;0;PUNCT;10
Hoflieferant_p53;10;3;Auguste;PROPN;10
Hoflieferant_p53;10;4;0;PUNCT;10
Hoflieferant_p53;10;5;hierotsch;ADJ;10
Hoflieferant_p53;10;6;d';DET;10
Hoflieferant_p53;10;7;mademoiselle;ADJ;10
Hoflieferant_p53;10;8;Riemer;NOUN;10
Hoflieferant_p53;10;9;.;PUNCT;10
Hoflieferant_p53;11;1;Papa;NOUN;10
Hoflieferant_p53;11;2;niemols;NOUN;10
Hoflieferant_p53;11;3;!;PUNCT;10
Hoflieferant_p53;12;1;Unn;CONJ;10
Hoflieferant_p53;12;2;wenn;SCONJ;10
Hoflieferant_p53;12;3;du;PRON;10
Hoflieferant_p53;12;4;bis;ADP;10
Hoflieferant_p53;12;5;an;ADP;10
Hoflieferant_p53;12;6;de;PROPN;10
Hoflieferant_p53;12;7;plafond;NOUN;10
Hoflieferant_p53;12;8;springsch;VERB;10
Hoflieferant_p53;12;9;!;PUNCT;10
Hoflieferant_p53;13;1;Fallt;VERB;10
Hoflieferant_p53;13;2;m'r;PRON;10
Hoflieferant_p53;13;3;nit;PART;10
Hoflieferant_p53;13;4;in;ADP;10
Hoflieferant_p53;13;5;so;ADV;10
Hoflieferant_p53;13;6;hoch;ADJ;10
Hoflieferant_p53;13;7;ze;ADP;10
Hoflieferant_p53;13;8;springe;VERB;10
Hoflieferant_p53;13;9;!;PUNCT;10
Hoflieferant_p53;14;1;Geh;VERB;10
Hoflieferant_p53;14;2;e;VERB;10
Hoflieferant_p53;14;3;Gottsnamme;NOUN;10
Hoflieferant_p53;14;4;im;ADP;10
Hoflieferant_p53;14;5;Deifel;NOUN;10
Hoflieferant_p53;14;6;zue;ADP;10
Hoflieferant_p53;14;7;0;PUNCT;10
Hoflieferant_p53;14;8;no;ADJ;10
Hoflieferant_p53;14;9;rennsch;NOUN;10
Hoflieferant_p53;14;10;au;INTJ;10
Hoflieferant_p53;14;11;kein;DET;10
Hoflieferant_p53;14;12;Heiliger;NOUN;10
Hoflieferant_p53;14;13;um;ADP;10
Hoflieferant_p53;14;14;!;PUNCT;10
Hoflieferant_p53;15;1;Awwer;ADV;10
Hoflieferant_p53;15;2;0;PUNCT;10
Hoflieferant_p53;15;3;papa;NOUN;10
Hoflieferant_p53;15;4;!;PUNCT;10
Hoflieferant_p53;16;1;Toi;NOUN;10
Hoflieferant_p53;16;2;0;PUNCT;10
Hoflieferant_p53;16;3;tais-toi;VERB;10
Hoflieferant_p53;16;4;!;PUNCT;10
Hoflieferant_p53;17;1;Unn;CONJ;10
Hoflieferant_p53;17;2;du;PRON;10
Hoflieferant_p53;17;3;hierothsch;ADJ;10
Hoflieferant_p53;17;4;de;PROPN;10
Hoflieferant_p53;17;5;Baron;NOUN;10
Hoflieferant_p53;17;6;de;PROPN;10
Hoflieferant_p53;17;7;Rose;PROPN;10
Hoflieferant_p53;17;8;0;PUNCT;10
Hoflieferant_p53;17;9;wie;CONJ;10
Hoflieferant_p53;17;10;am;ADP;10
Hoflieferant_p53;17;11;Sundaa;PROPN;10
Hoflieferant_p53;17;12;uff;ADP;10
Hoflieferant_p53;17;13;Visit;NOUN;10
Hoflieferant_p53;17;14;kummt;ADJ;10
Hoflieferant_p53;17;15;.;PUNCT;10
Hoflieferant_p53;18;1;Niemols;NOUN;10
Hoflieferant_p53;18;2;0;PUNCT;10
Hoflieferant_p53;18;3;Babbe;NOUN;10
Hoflieferant_p53;18;4;!;PUNCT;10
Hoflieferant_p53;19;1;Niemols;NOUN;10
Hoflieferant_p53;19;2;!;PUNCT;10
Hoflieferant_p53;20;1;So;ADV;10
Hoflieferant_p53;20;2;?;PUNCT;10
Hoflieferant_p53;21;1;Eh;ADV;10
Hoflieferant_p53;21;2;bien;ADJ;10
Hoflieferant_p53;21;3;0;PUNCT;10
Hoflieferant_p53;21;4;ich;PRON;10
Hoflieferant_p53;21;5;will;AUX;10
Hoflieferant_p53;21;6;sehn;VERB;10
Hoflieferant_p53;21;7;0;PUNCT;10
Hoflieferant_p53;21;8;wer;PRON;10
Hoflieferant_p53;21;9;Herr;NOUN;10
Hoflieferant_p53;21;10;im;ADP;10
Hoflieferant_p53;21;11;Hüs;PROPN;10
Hoflieferant_p53;21;12;isch;AUX;10
Hoflieferant_p53;21;13;0;PUNCT;10
Hoflieferant_p53;21;14;ich;PRON;10
Hoflieferant_p53;21;15;odder;CONJ;10
Hoflieferant_p53;21;16;Ihr;DET;10
Hoflieferant_p53;21;17;!;PUNCT;10
Hoflieferant_p53;22;1;O;NOUN;10
Hoflieferant_p53;22;2;0;PUNCT;10
Hoflieferant_p53;22;3;wie;SCONJ;10
Hoflieferant_p53;22;4;bin;AUX;10
Hoflieferant_p53;22;5;ich;PRON;10
Hoflieferant_p53;22;6;unglüecklich;ADJ;10
Hoflieferant_p53;22;7;!;PUNCT;10
Hoflieferant_p53;23;1;Charles;PROPN;10
Hoflieferant_p53;23;2;0;PUNCT;10
Hoflieferant_p53;23;3;wenn;SCONJ;10
Hoflieferant_p53;23;4;du;PRON;10
Hoflieferant_p53;23;5;wüescht;VERB;10
Hoflieferant_p53;23;6;0;PUNCT;10
Hoflieferant_p53;23;7;wie;SCONJ;10
Hoflieferant_p53;23;8;ich;PRON;10
Hoflieferant_p53;23;9;dich;PRON;10
Hoflieferant_p53;23;10;gern;ADV;10
Hoflieferant_p53;23;11;hab;AUX;10
Hoflieferant_p53;23;12;!;PUNCT;10
Hoflieferant_p53;24;1;Lisa;PROPN;10
Hoflieferant_p53;24;2;!;PUNCT;10
Hoflieferant_p53;25;1;Charles;PROPN;10
Hoflieferant_p53;25;2;0;PUNCT;10
Hoflieferant_p53;25;3;ich;PRON;10
Hoflieferant_p53;25;4;hab;AUX;10
Hoflieferant_p53;25;5;dich;PRON;10
Hoflieferant_p53;25;6;gar;ADV;10
Hoflieferant_p53;25;7;nit;PART;10
Hoflieferant_p53;25;8;erüs;PROPN;10
Hoflieferant_p53;25;9;höre;VERB;10
Hoflieferant_p53;25;10;kumme;ADJ;10
Hoflieferant_p53;25;11;.;PUNCT;10
Hoflieferant_p53;26;1;Du;PRON;10
Hoflieferant_p53;26;2;hesch;AUX;10
Hoflieferant_p53;26;3;doch;ADV;10
Hoflieferant_p53;26;4;nit;PART;10
Hoflieferant_p53;26;5;ghört;ADJ;10
Hoflieferant_p53;26;6;0;PUNCT;10
Hoflieferant_p53;26;7;was;PRON;10
Hoflieferant_p53;26;8;ich;PRON;10
Hoflieferant_p53;26;9;ewe;ADJ;10
Hoflieferant_p53;26;10;do;NOUN;10
Hoflieferant_p53;26;11;for;ADP;10
Hoflieferant_p53;26;12;mich;PRON;10
Hoflieferant_p53;26;13;gsaat;NOUN;10
Hoflieferant_p53;26;14;hab;AUX;10
Hoflieferant_p53;26;15;?;PUNCT;10
